id,название,структура_развёрнутого_описания
HELP-AM-VIEWPORT,3D viewport,"{'что_это': '3D viewport', 'зачем_нужно': 'Главная 3D-сцена.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-AM-VIEWCUBE,Навигационный куб,"{'что_это': 'Навигационный куб', 'зачем_нужно': 'Переориентация сцены.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-AM-HOME-VIEW,Домашний вид,"{'что_это': 'Домашний вид', 'зачем_нужно': 'Вернуться к Home view.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-AM-VIEW-PRESETS,Предустановленные виды,"{'что_это': 'Предустановленные виды', 'зачем_нужно': 'Спереди, сбоку, сверху, изометрия.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-AM-SEGMENT-HUD,HUD сегмента и времени,"{'что_это': 'HUD сегмента и времени', 'зачем_нужно': 'Текущий segment_id, название сегмента, источник данных, время, скорость.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-AM-TRUTH-BANNER,Баннер достоверности,"{'что_это': 'Баннер достоверности', 'зачем_нужно': 'Показывает режим: расчётно подтверждённый, по исходным данным, условный по неполным данным.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-AM-TIMELINE,Таймлайн аниматора,"{'что_это': 'Таймлайн аниматора', 'зачем_нужно': 'Управление временем, скоростью и источником данных.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-AM-DETACH,Отстыковать аниматор,"{'что_это': 'Отстыковать аниматор', 'зачем_нужно': 'Открыть аниматор в отдельном окне.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-BTN-OPEN-LAST,Открыть последний архив,"{'что_это': 'Открыть последний архив', 'зачем_нужно': 'Открыть каталог или файл последнего архива.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-CONTENTS,Состав пакета диагностики,"{'что_это': 'Состав пакета диагностики', 'зачем_нужно': 'Что войдёт в пакет.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-SETTINGS,Настройки диагностики,"{'что_это': 'Настройки диагностики', 'зачем_нужно': 'Retention, лимит размера, формат имени.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-HEALTH,Состояние self-check,"{'что_это': 'Состояние self-check', 'зачем_нужно': 'Результат самопроверки.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-LAST-BUNDLE,Сведения о последнем архиве,"{'что_это': 'Сведения о последнем архиве', 'зачем_нужно': 'Путь, время, свежесть и размер последнего архива.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-HISTORY,История диагностических архивов,"{'что_это': 'История диагностических архивов', 'зачем_нужно': 'История архивов диагностики.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ST-CATEGORY-LIST,Список категорий параметров,"{'что_это': 'Список категорий параметров', 'зачем_нужно': 'Категории: интерфейс, производительность, распределённые вычисления, импорт/экспорт, системные инструменты.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ST-SEARCH,Поиск по параметрам и инструментам,"{'что_это': 'Поиск по параметрам и инструментам', 'зачем_нужно': 'Поиск параметров, инструментов и команд.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ST-FORM,Форма выбранной категории,"{'что_это': 'Форма выбранной категории', 'зачем_нужно': 'Редкие настройки и инструменты.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PARAM-COL-NAME,Параметр,"{'что_это': 'Параметр', 'зачем_нужно': 'Полное русское название параметра.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PARAM-COL-CURRENT,Текущее значение,"{'что_это': 'Текущее значение', 'зачем_нужно': 'Текущее значение из проекта.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PARAM-COL-UNIT,Единица измерения,"{'что_это': 'Единица измерения', 'зачем_нужно': 'Единица измерения параметра.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PARAM-COL-OPT,Оптимизировать,"{'что_это': 'Оптимизировать', 'зачем_нужно': 'Включает параметр в search space оптимизации.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PARAM-COL-STATUS,Статус,"{'что_это': 'Статус', 'зачем_нужно': 'Показывает валидность, предупреждения и связь с графикой.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-SEGMENT-ID,"Номер сегмента, штуки","{'что_это': 'Номер сегмента, штуки', 'зачем_нужно': 'Порядковый номер сегмента.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-SEGMENT-LABEL,Имя сегмента,"{'что_это': 'Имя сегмента', 'зачем_нужно': 'Короткое имя сегмента.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-SEGMENT-LENGTH,"Длина сегмента, метры","{'что_это': 'Длина сегмента, метры', 'зачем_нужно': 'Длина участка по оси траектории.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-TURN-TYPE,Поворот,"{'что_это': 'Поворот', 'зачем_нужно': 'Структурный тип сегмента: прямо, влево, вправо.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-RADIUS,"Радиус центральной линии, метры","{'что_это': 'Радиус центральной линии, метры', 'зачем_нужно': 'Радиус сегмента поворота.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-ARC-ANGLE,"Угол дуги, градусы","{'что_это': 'Угол дуги, градусы', 'зачем_нужно': 'Угол поворота сегмента.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-END-HEIGHT,"Высота дороги в конце сегмента, миллиметры","{'что_это': 'Высота дороги в конце сегмента, миллиметры', 'зачем_нужно': 'Высота центральной линии дороги в конце сегмента.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-CROSSFALL,"Поперечный уклон, градусы","{'что_это': 'Поперечный уклон, градусы', 'зачем_нужно': 'Поперечный уклон сегмента.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-SURFACE-TYPE,Тип покрытия,"{'что_это': 'Тип покрытия', 'зачем_нужно': 'Генератор и класс покрытия.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-SURFACE-CLASS,Класс шероховатости или профиль,"{'что_это': 'Класс шероховатости или профиль', 'зачем_нужно': 'Класс ISO8608, имя CSV или описание ручного профиля.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-SINE-AMPLITUDE,"Амплитуда синусоиды, миллиметры","{'что_это': 'Амплитуда синусоиды, миллиметры', 'зачем_нужно': 'Амплитуда синусоидального профиля.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-SINE-WAVELENGTH,"Длина волны синусоиды, метры","{'что_это': 'Длина волны синусоиды, метры', 'зачем_нужно': 'Пространственная длина волны.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-PHASE-RIGHT,"Фаза правой колеи, градусы","{'что_это': 'Фаза правой колеи, градусы', 'зачем_нужно': 'Фазовый сдвиг правой колеи относительно левой.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-RANDOM-PHASES,Случайные фазы,"{'что_это': 'Случайные фазы', 'зачем_нужно': 'Разрешить случайную фазу микропрофиля.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-TARGET-SPEED,"Целевая скорость прохождения, километры в час","{'что_это': 'Целевая скорость прохождения, километры в час', 'зачем_нужно': 'Режим прохождения сегмента, не тип геометрии.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-NOTE,Комментарий режима прохождения,"{'что_это': 'Комментарий режима прохождения', 'зачем_нужно': 'Дополнительное пояснение по сегменту.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-ENABLED,Включено,"{'что_это': 'Включено', 'зачем_нужно': 'Будет ли испытание участвовать в расчёте.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-NAME,Имя испытания,"{'что_это': 'Имя испытания', 'зачем_нужно': 'Уникальное имя строки испытания.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-TYPE,Тип испытания,"{'что_это': 'Тип испытания', 'зачем_нужно': 'Тип испытания.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-STAGE,"Стадия первого входа, уровень","{'что_это': 'Стадия первого входа, уровень', 'зачем_нужно': 'Первый runtime-tier, в который входит испытание.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-DT,"Шаг интегрирования, секунды","{'что_это': 'Шаг интегрирования, секунды', 'зачем_нужно': 'Шаг интегрирования для этого испытания.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-T-END,"Время моделирования, секунды","{'что_это': 'Время моделирования, секунды', 'зачем_нужно': 'Продолжительность испытания.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-SCENARIO-LINK,Сценарий,"{'что_это': 'Сценарий', 'зачем_нужно': 'Связанный сценарий из редактора кольца.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-ROAD-CSV,Файл road_csv,"{'что_это': 'Файл road_csv', 'зачем_нужно': 'Путь к файлу профиля дороги.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-AXAY-CSV,Файл axay_csv,"{'что_это': 'Файл axay_csv', 'зачем_нужно': 'Путь к файлу управляющих ускорений.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
